FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 08,20,1289,Investigative Analyst,Annual,2,1,86520.00,173040
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 08,20,1289,Investigative Analyst,Annual,1,1,80472.00,80472
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,X 33,0,1252,Chief Investigative Analyst,Annual,1,1,133524.00,133524
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 11,20,1127,Chief Performance Analyst,Annual,2,1,123060.00,246120
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 08,20,1126,Senior Performance Analyst,Annual,2,1,86520.00,173040
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,82752.00,82752
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 07,20,1125,Performance Analyst,Annual,1,1,80472.00,80472
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 07,20,1125,Performance Analyst,Annual,5,1,77400.00,387000
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 07,20,1125,Performance Analyst,Annual,1,1,73800.00,73800
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,40030.00,40030
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,X 32,9,9659,Deputy Inspector General,Annual,1,1,163068.00,163068
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2011,City Comptroller,3012,Personnel,0,,BX 17,20,1331,Labor Relations Supervisor,Annual,1,1,100476.00,100476
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,BX 14,10,1727,Information Analyst - IG,Annual,1,1,67656.00,67656
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,BX 14,10,1727,Information Analyst - IG,Annual,1,1,64584.00,64584
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,86520.00,86520
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,80628.00,80628
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,BX 16,10,1721,Senior Information Analyst - IG,Annual,2,1,77796.00,155592
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,BX 16,10,1721,Senior Information Analyst - IG,Annual,1,1,74244.00,74244
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,GY 10,20,1719,Senior Forensic Data Analyst,Annual,2,1,98664.00,197328
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,X 33,0,1718,Chief Forensic Data Analyst,Annual,1,1,142536.00,142536
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,X 33,0,1717,Chief Data and Information Analyst,Annual,1,1,142536.00,142536
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,BX 17,10,06M3,Web Developer/Administrator (OIG),Annual,1,1,100476.00,100476
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,GY 09,20,06A7,IT Security Analyst-IG,Annual,1,1,90444.00,90444
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,BX 17,10,06A4,Data Services Administrator-Excluded,Annual,1,1,80628.00,80628
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,BX 13,10,0645,Technical Support Administrator - IG,Annual,1,1,56172.00,56172
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,GY 09,10,0641,Forensic Data Analyst,Annual,1,1,94500.00,94500
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,GY 09,10,0641,Forensic Data Analyst,Annual,3,1,90444.00,271332
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3045,Information Technology and Analytics,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,45345.00,45345
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,,1 00,9,9905,Budget Director,Annual,1,1,201564.00,201564
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,,X 31,0,9868,First Deputy Budget Director,Annual,1,1,189012.00,189012
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,,X 31,9,1120,Managing Deputy Budget Director,Annual,1,1,175068.00,175068
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,,BX 16,10,0802,Executive Administrative Assistant II,Annual,1,1,115488.00,115488
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,,BX 16,10,0802,Executive Administrative Assistant II,Annual,1,1,86520.00,86520
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,,BX 18,20,0394,Administrative Manager,Annual,1,1,86520.00,86520
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3005,Administration,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,13889.00,13889
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,X 32,9,9656,Deputy Budget Director,Annual,1,1,163068.00,163068
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,X 32,9,9656,Deputy Budget Director,Annual,1,1,152748.00,152748
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2011,City Comptroller,3012,Personnel,0,,B 15,1,1302,Administrative Services Officer II,Annual,1,1,115632.00,115632
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,X 32,9,9656,Deputy Budget Director,Annual,1,1,135084.00,135084
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,X 33,9,1124,Assistant Budget Director,Annual,2,1,118128.00,236256
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,GY 08,20,1107,Principal Budget Analyst,Annual,1,1,108816.00,108816
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,99660.00,99660
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,77400.00,77400
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,GY 05,20,1103,Budget Analyst,Annual,2,1,66852.00,133704
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,GY 05,20,1103,Budget Analyst,Annual,2,1,63708.00,127416
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,GY 05,20,1103,Budget Analyst,Annual,1,1,60684.00,60684
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,BX 15,10,0134,Financial Analyst,Annual,2,1,74244.00,148488
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3010,Budget Development and Monitoring,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,35502.00,35502
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3015,Strategic Communications,0,,BX 16,10,1430,Policy Analyst,Annual,1,1,86520.00,86520
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3015,Strategic Communications,0,,BX 15,10,0789,Public Relations Rep III - Excluded,Annual,1,1,70872.00,70872
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3015,Strategic Communications,0,,PX 02,9,0705,Director of Public Affairs,Annual,1,1,124992.00,124992
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3015,Strategic Communications,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,2529.00,2529
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4160,Compensation Control,X 32,9,9684,Deputy Director,Annual,1,1,152748.00,152748
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4160,Compensation Control,BX 16,10,1333,Compensation Specialist,Annual,1,1,115488.00,115488
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4160,Compensation Control,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,5548.00,5548
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4165,Applications,X 32,9,9684,Deputy Director,Annual,1,1,152748.00,152748
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4165,Applications,GY 09,20,0647,Senior Programmer Analyst - Excluded,Annual,1,1,118992.00,118992
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4165,Applications,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,2898.00,2898
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4170,Data Analytics,X 32,9,9656,Deputy Budget Director,Annual,1,1,163068.00,163068
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4170,Data Analytics,GY 08,20,1141,Principal Operations Analyst,Annual,3,1,86520.00,259560
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4170,Data Analytics,3 00,10,1140,Chief Operations Analyst,Annual,1,1,107688.00,107688
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4170,Data Analytics,X 33,9,1124,Assistant Budget Director,Annual,1,1,118128.00,118128
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4170,Data Analytics,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,10000.00,10000
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4175,Performance Management,GY 07,20,1125,Performance Analyst,Annual,1,1,80472.00,80472
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4175,Performance Management,GY 07,20,1125,Performance Analyst,Annual,1,1,77400.00,77400
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4175,Performance Management,X 33,9,1124,Assistant Budget Director,Annual,1,1,133524.00,133524
LOCAL,5,Office of Budget and Management,0100,Corporate Fund,1005,Office of Budget and Management,2005,Office of Budget and Management,3160,Workforce Management and Technology,4175,Performance Management,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,8346.00,8346
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,X 32,9,9679,Deputy Commissioner,Annual,1,1,152748.00,152748
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,BX 17,10,1431,Senior Policy Analyst,Annual,1,1,80628.00,80628
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,B 15,1,1302,Administrative Services Officer II,Annual,1,1,132924.00,132924
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,BX 16,10,0802,Executive Administrative Assistant II,Annual,1,1,110256.00,110256
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,B 13,1,0708,FOIA Officer,Annual,1,1,66612.00,66612
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,IT 05,9,06J6,Director of Strategic Partnerships,Annual,1,1,172440.00,172440
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,3 00,9,06H4,Chief Information Officer,Annual,1,1,207660.00,207660
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,B 14,1,06C3,Business Analyst,Annual,1,1,73140.00,73140
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,60720.00,60720
LOCAL,6,Department of Technology and Innovation,0100,Corporate Fund,1005,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,3421,Office of CIO,0,,X 33,20,0383,Director of Administrative Services,Annual,1,1,118128.00,118128
